EVENT,EN,JA,,
★5Troop,Legendary Troop Summon,レジェンド兵団サモン,,
🔴Mimic,Secret Summon,シークレットサモン,,
🔵Mimic,Secret Summon,シークレットサモン,,
🟡Mimic,Secret Summon,シークレットサモン,,
🟢Mimic,Secret Summon,シークレットサモン,,
🟣Mimic,Secret Summon,シークレットサモン,,
🔴Asc. Mimic,Secret Summon,シークレットサモン,,
🔵Asc. Mimic,Secret Summon,シークレットサモン,,
🟡Asc. Mimic,Secret Summon,シークレットサモン,,
🟢Asc. Mimic,Secret Summon,シークレットサモン,,
🟣Asc. Mimic,Secret Summon,シークレットサモン,,
🔴Emblem Mimic,Secret Summon,シークレットサモン,,
🔵Emblem Mimic,Secret Summon,シークレットサモン,,
🟡Emblem Mimic,Secret Summon,シークレットサモン,,
🟢Emblem Mimic,Secret Summon,シークレットサモン,,
🟣Emblem Mimic,Secret Summon,シークレットサモン,,
8th Birthday,Birthday Summon,バースデーサモン,,
Ancient Underroot,Ancient Underroot,古の地下茎,,
AQ:NotM,AQ: Night of the Moth Summon,同盟クエスト,,
Astral,Astral Summon,アストラルプレーン,,
Beach Party,Beach Party Summon,ビーチパーティー,,
Beowulf,Beowulf Summon,ベオウルフの挑戦,,
CoE🔴,Contest of Elements (Fire),🔴属性バトル,,
CoE🔵,Contest of Elements (Ice),🔵属性バトル,,
CoE🟡,Contest of Elements (Holy),🟡属性バトル,,
CoE🟢,Contest of Elements (Nature),🟢属性バトル,,
CoE🟣,Contest of Elements (Dark),🟣属性バトル,,
Costume,Costume Chamber,仮装舞踏会,,
Cov Quest1,Covenant Quest (Boss Wulf Variant),盟約クエスト,,
Cov Quest2,Covenant Quest (QoH Variant),盟約クエスト,,
Covenant,Covenant Summon,盟約サモン (サモンのみ),,
Dragon Quest,Dragon Quest,ドラゴンのクエスト,,
Easter,Springvale Summon,スプリングヴェイル,,
Fes2,Challenge Festival 2 Summon,チャレンジフェスティバル2,,
Goblin,Goblin Village Summon,ゴブリンの村,,
Hero Coach,Hero Coach,英雄の訓練係,,
Hero League,Hero League,英雄リーグ,,
Instant Power,Instant Power Summon,即時パワーサモン,,
Monster Island,Monster Island Summon,モンスター島,,
Mythic🔴,Mythic Titan (Ifrit),🔴ミシックタイタン,,
Mythic🔵,Mythic Titan (Jormungandr),🔵ミシックタイタン,,
Mythic🟡,Mythic Titan (Gilgamesh),🟡ミシックタイタン,,
Mythic🟢,Mythic Titan (Babayaga),🟢ミシックタイタン,,ぃ
Mythic🟣,Mythic Titan (Hades),🟣ミシックタイタン,,
Outfitter,Visiting Outfitter,訪問衣装屋,,
PickUp,PickUp Summon,ピックアップサモン,,
PoD,Path of Dragons,ドラゴンの試練,,
PoG,Path of Valor,武勇の試練,,
PoV,Path of Giants,偉人の試練,,
Raid Tournament,Raid Tournament,レイドトーナメント,,
S2,Atlantis Summon (S2),アトランティス出現,,
S3,Valhalla Summon (S3),ヴァルハラよ永遠に,,
S4,Underwild Summon (S4),アンダーワイルドの激震,,
S5,Dune Summon (S5),裁きの砂丘,,
Shadow Summon,Shadow Summon,深淵のシャドウ,,
Solstice,Solstice Summon,夏至の日サモン,,
Summon Challenge,Gem Summon Challenge,ジェムサモンチャレンジ,,
Untold Tale 1,Untold Tale 1 Summon,語られざる物語1,,
Untold Tale 2,Untold Tale 2 Summon,語られざる物語2,,
ToL,Tavern of Legends,伝説の様ば,,
TowerMagic,Magic Tower Summon,魔法のタワー,,
TQ Alliance,Treasure Quest: Tower/Alliance Quest,宝物クエスト：タワー/同盟クエ,,
TQ Alpha,Treasure Quest: Limitbreak,宝物クエスト：リミットブレーク,,
TQ Ascension,Treasure Quest: Ascension,宝物クエスト：アセンド,,
TQ Cov/Super,Treasure Quest: Covenant/Super Element,宝物クエスト：盟約/スーパーエレ,,
TQ Tome,Treasure Quest: Tome and Utilities,宝物クエスト：書物系,,
TQ Troops,Treasure Quest: Troops,宝物クエスト：兵団,,
TQ🔵XP,Treasure Quest: Ice XP,宝物クエスト：🔵XP,,
TQ🟣XP,Treasure Quest: Dark XP,宝物クエスト：🟣XP,,
TQ🟡XP,Treasure Quest: Holy XP,宝物クエスト：🟡XP,,
TQ🔴XP,Treasure Quest: Fire XP,宝物クエスト：🔴XP,,
TQ🟢XP,Treasure Quest: Nature XP,宝物クエスト：🟢XP,,
ValentinesSeasonal,Return to Morlovia Summon,愛の季節,,
W3K,War of Three Kingdoms Summon,三国戦争,,
RED,Red Lucky Summon,赤のラッキーサモン,,
Wilderness,Wilderness Summon,荒野のサモン,,
Legendary Dragon Quest,Legendary Dragon Quest,レジェンドドラゴンのクエスト,,
