id,heroname_en,heroname_ja,slug,URL,Icon,wp_id
fire_god_zidane,Zidane,ジダン,zidane,https://bbcamp.info/herodb/zidane,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Zidane.jpg,116232
nomad_female_lord_costume_flame,Elena C,エレナ-コス,elena2,https://bbcamp.info/herodb/elena2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Elena2.jpg,9058
orc_gladiator_costume_chef,Boldtusk C,ボルドタスク-コス,boldtusk2,https://bbcamp.info/herodb/boldtusk2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Boldtusk2.jpg,9199
oriental_female_mystic_costume_magician,Vivica C,ビビカ-コス,vivica2,https://bbcamp.info/herodb/vivica2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Vivica2.jpg,9151
blackguard_commander_costume_metal,Tiburtus C,トリビュータス-コス,tiburtus2,https://bbcamp.info/herodb/tiburtus2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Tiburtus2.jpg,9256
nordic_male_lord_costume_senior,Richard C,リチャード-コス,richard2,https://bbcamp.info/herodb/richard2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Richard2.jpg,9100
oriental_enchanted_monk_costume_tiger,Joon C,ジューン-コス,joon2,https://bbcamp.info/herodb/joon2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Joon2.jpg,9152
royal_knight_costume_blacksmith,Gunnar C,ガナー-コス,gunnar2,https://bbcamp.info/herodb/gunnar2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Gunnar2.jpg,9279
oriental_brawler_costume_egypt,Bane C,ベイン-コス,bane2,https://bbcamp.info/herodb/bane2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Bane2.jpg,9309
forest_mage_costume_white,Melendor C,メレンドル-コス,melendor2,https://bbcamp.info/herodb/melendor2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Melendor2.jpg,9227
forest_female_druid_costume_native,Brienne C,ブリーニー-コス,brienne2,https://bbcamp.info/herodb/brienne2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Brienne2.jpg,9356
goblin_mage_costume_candy,Skittleskull C,スキットルスカル-コス,skittleskull2,https://bbcamp.info/herodb/skittleskull2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Skittleskull2.jpg,9226
elven_archer_costume_moon,Lianna C,リアーナ-コス,lianna2,https://bbcamp.info/herodb/lianna2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Lianna2.jpg,9127
forest_titan_costume_jester,Horghall C,ホルグホル-コス,horghall2,https://bbcamp.info/herodb/horghall2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Horghall2.jpg,9126
royal_knight_costume_glass,Gunnar C3,ガナー-コス3,,,,
oriental_female_templar_costume_kimono,Li Xiu C,リシウ-コス,li_xiu2,https://bbcamp.info/herodb/li_xiu2,https://bbcamp.info/wp-content/uploads/camp-img/faceicon/Li_Xiu2.jpg,9240
